King Kong
Godzilla
AL	9	389	5200
AK	3	13241	12328
AZ	10	10190	13148
AR	6	14798	12817
CA	55	9653	1772
CO	9	14247	11867
CT	7	12648	9233
DE	3	10509	5971
DC	3	9698	8586
FL	27	12348	5604
GA	15	7269	14969
HI	4	6355	13118
ID	4	13535	8864
IL	21	19465	14879
IN	11	5236	10822
IA	7	5560	11209
KS	6	9413	10921
KY	8	7336	9910
LA	9	13979	14451
ME	4	10235	12290
MD	10	13977	9612
MA	12	6019	9590
MI	17	9616	5068
MN	10	5668	5972
MS	6	10491	11759
MO	11	13421	12880
MT	3	13396	7723
NE	5	13187	7044
NV	5	9587	7123
NH	4	11177	6250
NJ	15	5779	7439
NM	5	14520	12083
NY	31	8449	6862
NC	15	9358	5919
ND	3	10878	12643
OH	20	9747	1801
OK	7	10635	5865
OR	7	5860	1300
PA	21	6649	1774
RI	4	6186	6602
SC	8	11276	6407
SD	3	14512	11609
TN	11	12193	7667
TX	34	5657	7148
UT	5	11902	9936
VT	3	7727	5008
VA	13	14841	11748
WA	11	14538	6351
WV	5	12351	10882
WI	10	8467	12446
WY	3	10369	12732

